id,nome,telefone,nascimento,cpf,cep,uf,logradouro,bairro,cidade,complemento
0001223,Otto Pacheco,+55 (87) 90885-8010,2000-09-13,24954345685,53230410,PE,Rua Dom Bosco,Peixinhos,Olinda,"Bloco D2, Apto 902"
0001224,Ana Sophia Fogaça,+55 (22) 96234-5966,2003-07-22,67927313231,23918561,RJ,Rua Maria dos Anjos,Garatucaia,Angra dos Reis,Apto 371
0001225,Lorenzo da Cruz,+55 (14) 5803-2893,1970-05-30,36191333447,13221560,SP,Rua Azulão,Cidade Nova II,Várzea Paulista,Apto 253
0001226,Benício Pimenta,+55 (11) 98369-5329,1966-06-15,16526376215,13636120,SP,Rua Aristóteles de Oliveira,Vila Santa Terezinha,Pirassununga,Casa 14
0001227,Manuela Rios,+55 (87) 3008-1129,2002-11-12,39075032951,54759214,PE,Alameda dos Jacarandas,Vila da Fábrica,Camaragibe,
0001228,Yan Mendonça,+55 (31) 95608-5703,1960-10-20,88189882635,70790164,DF,SGAN 916 Módulo D,Asa Norte,Brasília,Apto 140
0001229,Francisco Lopes,+55 (97) 91688-1461,1969-01-21,23364922969,69151650,AM,Rua Padre Martins,Santa Clara,Parintins,Apto 434
0001230,Otto Pimenta,+55 (83) 3541-7880,1966-08-21,99129984130,59625583,RN,Rua Vicente Balbino Diniz,Presidente Costa e Silva,Mossoró,Casa 42
0001231,Augusto Camargo,+55 (22) 90390-9674,1981-01-28,39324388177,22770234,RJ,Rua Professor Henrique Costa - de 687 ao fim - lado ímpar,Pechincha,Rio de Janeiro,
0001232,Leandro Porto,+55 (62) 5538-0344,1963-09-27,59261662765,31842072,MG,Beco São José,Tupi A,Belo Horizonte,Casa 86
0001233,Ana Carolina Cunha,+55 (21) 97866-2253,1980-03-27,90145342646,23065015,RJ,Rua Carlos Luiz,Paciência,Rio de Janeiro,
0001234,Sophia Machado,+55 (13) 3899-5937,1982-02-12,99266914398,05307130,SP,Rua Conde Castro e Sola,Jardim Humaitá,São Paulo,Apto 712
0001235,Emanuelly Moraes,+55 (65) 90394-7323,1955-06-06,82980608220,78550534,MT,Avenida dos Jacarandás - de 4348 a 5108 - lado par,Setor Industrial Norte,Sinop,"Bloco B5, Apto 926"
0001236,Natália Castro,+55 (74) 93192-5831,1985-10-28,30531474089,45037785,BA,Rua Trinta e Um (Vl Elisa),Espírito Santo,Vitória da Conquista,
0001237,Gael Sales,+55 (27) 97378-6471,1977-07-14,79730673535,38030260,MG,Rua Walter Antônio Montes,Cidade Jardim,Uberaba,
0001238,Ana Beatriz Jesus,+55 (48) 94051-3735,1955-04-10,74618261820,88047005,SC,Servidão Valdemiro Dias,Costeira do Pirajubaé,Florianópolis,
0001239,Emanuel Cavalcante,+55 (21) 97777-5885,1976-02-20,98126958774,28614210,RJ,Rua Comendador José Mastrângelo,Santa Elisa,Nova Friburgo,Apto 116
0001240,Amanda Souza,+55 (66) 94737-5452,1956-11-23,66712952980,74393050,GO,Rua FP5,Recreio do Funcionário Público,Goiânia,"Bloco E3, Apto 56"
0001241,Sofia Siqueira,+55 (44) 99593-5744,1975-05-27,82708422812,83307500,PR,Rua Antônio Brudeck,Roça Nova,Piraquara,Casa 4
0001242,Dante Mendonça,+55 (49) 92853-8237,1993-08-30,04530323110,97330000,RS,,Distrito,Azevedo Sodré (São Gabriel),
0001243,Srta. Cecilia Santos,+55 (61) 4882-7003,1954-08-23,01940135613,72833718,GO,Quadra 218,Parque Desportivo Brasília (Roosevelt),Luziânia,"Bloco C3, Apto 683"
0001244,Marina Lima,+55 (73) 4559-4633,1995-01-27,81796145653,45052130,BA,Rua J (Urbis II e III),Bateias,Vitória da Conquista,
0001245,Vitória Ferreira,+55 (14) 94982-0111,1964-07-24,29969986007,19027320,SP,Rua Afonso Vincoletto,Jardim Sabará,Presidente Prudente,Apto 413
0001246,Maria Luiza da Luz,+55 (42) 96497-8725,1963-02-24,59434956307,81910320,PR,Rua Saturno,Sítio Cercado,Curitiba,
0001247,Pedro Henrique Câmara,+55 (27) 94656-5748,2001-04-27,54473306704,07056030,SP,Rua Vinte e Quatro de Maio,Vila Galvão,Guarulhos,Apto 478
0001248,Ravi Lucca Brito,+55 (21) 98976-8838,1967-02-23,09159451696,05036175,SP,Rua Arnaldo José Pacífico (Jardim das Perdizes),Água Branca,São Paulo,
0001249,Vitor Castro,+55 (27) 90919-3876,1993-02-03,48588513382,11621666,SP,Rua Itapeva,Baleia,São Sebastião,Apto 291
0001250,Pedro Ramos,+55 (61) 93693-5605,1979-04-10,71417081384,72735013,DF,Quadra 35 Conjunto M,Vila São José (Brazlândia),Brasília,"Bloco A2, Apto 857"
0001251,Daniel Leão,+55 (64) 95372-6774,2005-09-04,26028783838,74110130,GO,Rua 2,Setor Oeste,Goiânia,Apto 175
0001252,Benicio Borges,+55 (41) 4448-9344,1977-01-28,91161351132,81850004,PR,Rua Francisco Derosso - de 4306 a 5360 - lado par,Alto Boqueirão,Curitiba,Apto 252
0001253,Anthony Oliveira,+55 (66) 96429-5791,1980-01-08,93735563392,76876526,RO,Rua Iara - até 2150/2151,Jardim Jorge Teixeira,Ariquemes,"Bloco B3, Apto 453"
0001254,Ana Luiza Alves,+55 (27) 91377-3960,1959-03-17,81605013749,22715101,RJ,Beco da Tarde,Taquara,Rio de Janeiro,Apto 559
0001255,Cecilia Porto,+55 (24) 96581-2893,1958-10-25,86036727682,23590630,RJ,Travessa Nove,Santa Cruz,Rio de Janeiro,Apto 398
0001256,Maya Sampaio,+55 (87) 90657-9896,1959-02-17,83244577474,53560590,PE,Rua Caruaru,Jardim Caetés,Abreu e Lima,
0001257,Catarina Souza,+55 (81) 3060-7811,1984-03-09,63816569218,55614390,PE,Rua Sagrado Coração de Maria,Mário Bezerra,Vitória de Santo Antão,Apto 303
0001258,Cauê Cavalcante,+55 (62) 99226-4602,1980-06-09,31950599914,74815620,GO,Rua 2,Chácaras Alto da Glória,Goiânia,"Bloco A5, Apto 680"
0001259,Srta. Ana Cecília da Mata,+55 (69) 3663-6585,1972-06-28,35216363130,76820800,RO,Rua Venezuela - de 1953/1954 a 2254/2255,Embratel,Porto Velho,Apto 209
0001260,Ravy Campos,+55 (41) 5924-4623,1992-05-09,98347363390,08760150,SP,Viela Louro,Jardim Planalto,Mogi das Cruzes,"Bloco A5, Apto 271"
0001261,Vitor Camargo,+55 (86) 95833-8389,1955-08-04,77103348812,60120245,CE,Travessa Cravinhos,São João do Tauape,Fortaleza,Casa 73
0001262,Isabelly Barros,+55 (61) 96620-3284,2003-04-12,11935232576,72593023,DF,QBR 2 Bloco M,Residencial Santos Dumont (Santa Maria),Brasília,
0001263,Sara Lima,+55 (62) 95010-0324,1981-02-13,40168676907,75106896,GO,Rua Manga Rosa,Residencial Tangará,Anápolis,"Bloco C3, Apto 257"
0001264,Maria Marques,+55 (19) 92975-7164,1998-12-21,41623748054,14904000,SP,,Distrito,Nova América (Itápolis),Apto 190
0001265,Kaique Souza,+55 (62) 95051-0992,1956-09-11,85303542220,74823380,GO,Rua T 65 A,Setor Bela Vista,Goiânia,Casa 44
0001266,Bruno Freitas,+55 (61) 97390-3593,1964-01-15,46253287800,72593015,DF,QBR 2 Bloco E,Residencial Santos Dumont (Santa Maria),Brasília,Casa 62
0001267,Brenda Vieira,+55 (87) 97152-7215,1972-12-26,17787618019,55038245,PE,Rua Pindoba Branca,Boa Vista,Caruaru,Apto 322
0001268,Benicio das Neves,+55 (14) 92046-6384,1985-07-21,70561625840,05079000,SP,Rua Tomé de Souza - até 499/500,Lapa,São Paulo,"Bloco D2, Apto 302"
0001269,Arthur Miguel Aragão,+55 (11) 92498-1439,1957-09-06,24556041600,83820383,PR,Travessa Reseda,Eucaliptos,Fazenda Rio Grande,Apto 254
0001270,Hadassa da Costa,+55 (21) 92677-6197,1988-11-06,94911102926,24868376,RJ,Rua C,Jardim Itambi (Itambi),Itaboraí,Apto 740
0001271,Valentina Caldeira,+55 (47) 4106-5806,1955-09-26,01288338317,89211700,SC,Rua São Paulo - de 2556 a 3392 - lado par,Floresta,Joinville,"Bloco B5, Apto 390"
0001272,Maria Luísa Macedo,+55 (13) 94588-2878,1981-01-29,48364783670,14168449,SP,Rua Francisco Costa,Parque das Aroeiras,Sertãozinho,
0001273,Caroline Santos,+55 (67) 96502-9697,2001-09-08,05905206872,79003105,MS,Rua Caetano Rosa,Vila Antônio Vendas,Campo Grande,
0001274,Ana Carolina das Neves,+55 (87) 94168-6915,1975-02-23,68694034220,52171290,PE,Rua da Jaqueira,Dois Irmãos,Recife,Apto 61
0001275,Manuela Costela,+55 (79) 4959-2384,1957-11-05,03599008361,49503574,SE,Rua Olavio Eduardo Barbosa,Anízio Amancio de Oliveira,Itabaiana,
0001276,Asafe Nogueira,+55 (91) 3775-0014,1969-04-27,01585181609,66610245,PA,Passagem São João,Curió-Utinga,Belém,
0001277,Antônio Andrade,+55 (66) 91008-6102,1992-08-15,51839026316,78885970,MT,"Rua Dionizio Cerqueira, 259 Lote N",Centro,Feliz Natal,"Bloco B3, Apto 55"
0001278,Rafaela da Rocha,+55 (63) 95962-8099,2000-10-23,66802923955,77818746,TO,Rua QC 0006,Conjunto Urbanístico,Araguaína,
0001279,Julia Silveira,+55 (42) 94899-4211,1952-11-30,66090977128,86605278,PR,Rua Guaíra,Jardim Caviúna,Rolândia,Apto 51
0001280,Zoe da Conceição,+55 (41) 98785-8727,1956-08-25,46560809188,12321160,SP,Rua Eduardo José Diniz,Conjunto Habitacional Marinho,Jacareí,Apto 376
0001281,Liz Rodrigues,+55 (81) 98689-8464,2003-03-21,06929276030,50875300,PE,Rua Dona Ana Aurora - de 768/769 ao fim,Caçote,Recife,Apto 558
0001282,Emanuelly Pinto,+55 (32) 91421-7846,1983-03-21,23134577100,26185045,RJ,Rua Dierte Barbosa,Frei Fabiano,Belford Roxo,Casa 58
0001283,Heloisa Lopes,+55 (32) 90728-9479,1987-09-06,91405537361,21721301,RJ,Rua Barão de Piraquara - até 261 - lado ímpar,Padre Miguel,Rio de Janeiro,
0001284,Henrique Barros,+55 (22) 4433-4301,1964-12-16,31944638610,23822090,RJ,Rua Tangarás,Santa Cândida,Itaguaí,
0001285,André Duarte,+55 (27) 96613-3200,1959-01-08,87733820006,39637000,MG,,Distrito,Freire Cardoso (Coronel Murta),Apto 816
0001286,Vitória Cirino,+55 (24) 91600-2610,1981-08-09,19556296506,27963004,RJ,Rua Pedro Leon da Silva Carvalho,Parque Aeroporto,Macaé,
0001287,Bento Ribeiro,+55 (94) 97757-2344,2004-07-03,52645663800,66077435,PA,Rua Preto,Terra Firme,Belém,Apto 386
0001288,Caroline da Rocha,+55 (27) 94552-8164,1993-08-08,05357095795,29182238,ES,Rua Brejetuba,Serramar,Serra,"Bloco B4, Apto 986"
0001289,Isaac Casa Grande,+55 (15) 4971-3383,1965-05-02,79077952810,05529060,SP,Rua Bonifácio Veronese,Jardim Jaqueline,São Paulo,Apto 295
0001290,Hadassa Andrade,+55 (24) 5845-5863,2001-10-15,86986451008,25910236,RJ,Rua Cruzeiro do Sul,Vila Citrolândia (Santo Aleixo),Magé,Apto 151
0001291,Yan Lopes,+55 (18) 90993-4992,1983-03-28,04173274637,17522110,SP,Rua Madre Clélia Merloni,Conjunto Habitacional Monsenhor João Batista Toffoli,Marília,Apto 589
0001292,Yan Cassiano,+55 (17) 93230-8064,1997-10-31,20994319738,03007040,SP,Rua Santa Rosa,Brás,São Paulo,"Bloco B1, Apto 126"
0001293,Vitória Araújo,+55 (27) 93586-2311,1980-10-06,57148722314,14708070,SP,Alameda Cabo Frio - até 148/149,Jardim Menino Deus II,Bebedouro,
0001294,Emanuella Camargo,+55 (32) 99835-1778,1993-08-13,93895865427,25235150,RJ,Rua São Luís,Santo Antônio,Duque de Caxias,Apto 892
0001295,Caleb Ramos,+55 (38) 3872-6806,1985-09-07,96908130487,36038314,MG,Rua C,Aeroporto,Juiz de Fora,
0001296,Brayan Moura,+55 (16) 96310-8277,1982-06-07,59281437538,16901400,SP,Rua Alagoas - de 1090/1091 a 1672/1673,Piscina,Andradina,"Bloco C1, Apto 915"
0001297,Maria Júlia Farias,+55 (15) 95641-7226,1984-09-24,84149944580,12513580,SP,Rua Ana Carolina da Silva Henrique,Residencial Village Santana,Guaratinguetá,
0001298,Thiago da Rosa,+55 (42) 98554-8627,1974-05-31,24734279764,86042030,PR,Rua Zínia,Ouro Branco,Londrina,Apto 813
0001299,Srta. Maria Alice Cunha,+55 (27) 98080-7704,2007-01-25,07285768057,33170790,MG,Praça Sem Nome,Duquesa II (São Benedito),Santa Luzia,Casa 52
0001300,Esther Barbosa,+55 (48) 93937-5532,1955-12-24,13436481653,89707018,SC,Rua Engenheiro Ahrons,Nazaré,Concórdia,Apto 569
0001301,João Guilherme da Paz,+55 (89) 99286-0592,2001-12-05,30817489681,65091212,MA,Rua São Sebastião (Vl Tiradentes),Vila Maranhão,São Luís,Apto 134
0001302,Ana Fonseca,+55 (75) 4982-8065,1975-11-01,59840305867,45993159,BA,Travessa do Interior,Tancredo Neves,Teixeira de Freitas,"Bloco C4, Apto 937"
0001303,Ana Carolina da Rocha,+55 (62) 94958-0830,1990-08-21,25537687887,72885460,GO,Quadra 1,Mansões Recreio Mossoró,Cidade Ocidental,Casa 54
0001304,Lucas Azevedo,+55 (35) 90538-6440,2007-06-29,36606329450,32600044,MG,Rua Belo Horizonte,Centro,Betim,"Bloco C1, Apto 54"
0001305,Théo Vieira,+55 (46) 93800-7874,1984-03-03,18123108460,84021230,PR,Rua Diamante,Neves,Ponta Grossa,Apto 443
0001306,Clara Ferreira,+55 (86) 99491-8873,1990-12-19,06805419506,64090455,PI,Quadra 05 (Frei Damião),Gurupi,Teresina,Apto 645
0001307,Srta. Gabriela Casa Grande,+55 (37) 91494-4446,1997-05-26,36254825767,33933582,MG,Beco das Gameleiras,Urca (Justinópolis),Ribeirão das Neves,
0001308,Mateus Pires,+55 (11) 92922-2432,1958-05-09,72413002464,87033220,PR,Rua Marechal Mascarenhas de Moraes,Jardim Alvorada,Maringá,
0001309,Srta. Bianca Ribeiro,+55 (17) 97400-6991,1954-12-05,18079683751,02250210,SP,Rua Nossa Senhora da Luz,Vila Gustavo,São Paulo,Apto 235
0001310,Liam Novais,+55 (44) 5057-7953,2004-05-13,88341882337,86183796,PR,Rua Gildo Cogo,Jardim José Favaro,Cambé,
0001311,Srta. Isis Moura,+55 (12) 97847-6187,1957-02-16,01741640849,12902150,SP,Rua Monsenhor Farhat,Jardim América,Bragança Paulista,Casa 14
